protein1,protein2,symbol1,symbol2,coexpression_both_prior_corrected,experiments_both_prior_corrected,textmining_both_prior_corrected,combined_score
9606.ENSP00000257189,9606.ENSP00000357005,DSG3,F11R,0.01561302234144224,0.004171011470281538,0.15901818130416967,186
9606.ENSP00000257189,9606.ENSP00000275493,DSG3,EGFR,0.008342022940563076,0.031282586027111536,0.30244943627192467,329
9606.ENSP00000257189,9606.ENSP00000378577,DSG3,CLDN3,0.014598540145985384,0.0,0.16723298622022187,179
9606.ENSP00000257189,9606.ENSP00000379350,DSG3,ITGB1,0.0,0.021897810218978075,0.13010272039979076,147
9606.ENSP00000257189,9606.ENSP00000360269,DSG3,TACSTD2,0.07713435419455228,0.0,0.06882168925964549,122
9606.ENSP00000257189,9606.ENSP00000264012,DSG3,CDH3,0.1491941227447342,0.0,0.11678832116788318,253
9606.ENSP00000257189,9606.ENSP00000269571,DSG3,ERBB2,0.0,0.031282586027111536,0.136316831597043,163
9606.ENSP00000257189,9606.ENSP00000398632,DSG3,CD44,0.009384775808133461,0.0,0.11470281543274241,158
9606.ENSP00000257189,9606.ENSP00000267101,DSG3,ERBB3,0.020834398014094035,0.031282586027111536,0.07130842107208912,100
9606.ENSP00000257189,9606.ENSP00000263735,DSG3,EPCAM,0.018769551616266922,0.0,0.1808594501789207,196
9606.ENSP00000257189,9606.ENSP00000315190,DSG3,ITGA3,0.0,0.0,0.25367382820782425,177
9606.ENSP00000257189,9606.ENSP00000280904,DSG3,DSC2,0.08954517925237115,0.0,0.8064415813744114,823
9606.ENSP00000257189,9606.ENSP00000261590,DSG3,DSG2,0.015641293013555768,0.0,0.6183524504692388,639
9606.ENSP00000257189,9606.ENSP00000261769,DSG3,CDH1,0.05555513270362211,0.0,0.607924921793535,632
9606.ENSP00000257189,9606.ENSP00000347379,DSG3,OCLN,0.035453597497393075,0.0,0.24504583654549772,258
9606.ENSP00000257770,9606.ENSP00000493716,NT5E,EFNB2,0.021897810218978075,0.0,0.16892596454640252,220
9606.ENSP00000257770,9606.ENSP00000380227,NT5E,ITGA4,0.01971661913206857,0.0,0.48488008342022937,510
9606.ENSP00000257770,9606.ENSP00000375881,NT5E,ALPP,0.02294056308654846,0.0,0.2395711121573676,144
9606.ENSP00000257770,9606.ENSP00000264832,NT5E,ICAM1,0.03232533889468192,0.0,0.5773132205623471,590
9606.ENSP00000257770,9606.ENSP00000313875,NT5E,CD46,0.0010427528675703845,0.0,0.19812304483837329,231
9606.ENSP00000257770,9606.ENSP00000315190,NT5E,ITGA3,0.09496444962981732,0.0,0.2781736275947856,349
9606.ENSP00000257770,9606.ENSP00000497069,NT5E,IGF1R,0.0,0.0,0.18665276329509906,220
9606.ENSP00000257770,9606.ENSP00000263735,NT5E,EPCAM,0.0,0.0,0.44139652770906435,447
9606.ENSP00000257770,9606.ENSP00000270233,NT5E,BCAM,0.06465067778936395,0.0,0.21411663391980473,70
9606.ENSP00000257770,9606.ENSP00000317272,NT5E,MET,0.14392707906328395,0.0,0.24087591240875916,340
9606.ENSP00000257770,9606.ENSP00000372313,NT5E,MSLN,0.03441084462982269,0.0,0.19499478623566213,254
9606.ENSP00000257770,9606.ENSP00000294304,NT5E,LRP5,0.040667361835245,0.0,0.11042633260880674,172
9606.ENSP00000257770,9606.ENSP00000358765,NT5E,TPBG,0.03441084462982269,0.0,0.14494264859228356,208
9606.ENSP00000257770,9606.ENSP00000398632,NT5E,CD44,0.11261730969760164,0.0,0.8842642177015727,893
